TextURN,Page,Text,Feast,GenreUnit,Subsection,Rubric
urn:cts:chant:massordinary.eins121:h009.h00.1,37,In Primo Galli Cantu,Nativitas Domini/Christmas Day/Dec. 25,title,,
urn:cts:chant:massordinary.sg359:h009.h01.1,37,Dominus dixit ad me,Christmas Day,introit,,A
